Time, Voltage, Temperature 
445163,1.0395743,49.06
445344,1.0395743,49.06
445522,1.0460197,49.06
445695,1.0411856,49.06
445869,1.0419912,49.12
446036,1.0387685,49.12
446207,1.0468253,49.12
446379,1.0508537,49.12
446556,1.0411856,49.12
446819,1.035546,49.12
446997,1.0339345,49.12
447175,1.0363516,49.12
447347,1.0347401,49.12
447522,1.0444083,49.12
447697,1.035546,49.12
447871,1.0347401,49.19
448051,1.0387685,49.19
448224,1.0363516,49.19
448396,1.0403799,49.19
448584,1.035546,49.25
448757,1.045214,49.25
448932,1.0331288,49.25
449103,1.0427968,49.25
449373,1.0363516,49.31
449555,1.035546,49.31
449735,1.0339345,49.31
449910,1.0331288,49.31
450083,1.0347401,49.38
450258,1.0403799,49.38
450436,1.0363516,49.38
450618,1.0347401,49.38
450797,1.0363516,49.44
450973,1.0331288,49.44
451162,1.0347401,49.44
451344,1.0298558,49.44
451518,1.0339345,49.44
451696,1.0315175,49.44
451954,1.0395743,49.44
452130,1.0411856,49.5
452307,1.0298558,49.5
452482,1.0331288,49.5
452675,1.0298558,49.5
452849,1.0298558,49.56
453035,1.0298558,49.56
453207,1.0274388,49.56
453387,1.0379629,49.56
453576,1.0395743,49.56
453756,1.0315175,49.56
453942,1.0379629,49.56
454119,1.0379629,49.56
454298,1.0347401,49.62
454569,1.0282445,49.62
454755,1.035546,49.62
454932,1.0282445,49.62
455113,1.0363516,49.62
455297,1.0298558,49.62
455471,1.0258274,49.62
455656,1.0217991,49.69
455832,1.0298558,49.69
456013,1.0258274,49.69
456197,1.0290501,49.69
456379,1.0282445,49.69
456556,1.0282445,49.69
456736,1.0250217,49.69
456915,1.0258274,49.69
457180,1.0234103,49.75
457365,1.0250217,49.75
457548,1.024216,49.75
457739,1.0274388,49.75
457921,1.0306615,49.81
458103,1.0339345,49.81
458286,1.0226047,49.81
458469,1.0250217,49.81
458657,1.0250217,49.81
458847,1.0282445,49.81
459033,1.0250217,49.81
459215,1.0290501,49.81
459401,1.0298558,49.88
459581,1.0290501,49.88
459860,1.0258274,49.88
460047,1.0258274,49.88
460233,1.0226047,49.88
460420,1.0217991,49.88
460605,1.0258274,49.88
460792,1.0234103,49.94
460986,1.0258274,49.94
461169,1.0217991,49.94
461350,1.0193819,49.94
461538,1.0201877,49.94
461718,1.026633,49.94
461913,1.0217991,49.94
462100,1.0193819,49.94
462284,1.0250217,49.94
462558,1.0234103,49.94
462740,1.0169649,49.94
462925,1.0185763,49.94
463107,1.0250217,49.94
463294,1.0209934,49.94
463483,1.0193819,49.94
463672,1.0250217,50.0
463863,1.0234103,50.0
464048,1.0209934,50.0
464232,1.0209934,50.0
464419,1.0193819,50.0
464607,1.024216,50.0
464795,1.0226047,50.0
464978,1.0185763,50.0
465246,1.0105195,50.0
465477,1.0153536,50.0
465643,1.0185763,50.0
465807,1.0185763,50.0
465973,1.0153536,50.06
466145,1.0209934,50.06
466319,1.0209934,50.06
466494,1.0137423,50.06
466659,1.0201877,50.06
466824,1.0129366,50.06
466988,1.0137423,50.06
467157,1.014548,50.06
467329,1.0177706,50.06
467501,1.0217991,50.06
467754,1.0177706,50.06
467932,1.0169649,50.06
468102,1.0177706,50.06
468265,1.0209934,50.06
468436,1.0193819,50.06
468598,1.0153536,50.12
468764,1.0137423,50.12
468935,1.0161593,50.12
469106,1.0161593,50.12
469288,1.0185763,50.12
469453,1.0153536,50.12
469627,1.0201877,50.12
469791,1.0097139,50.12
469960,1.0097139,50.19
470223,1.0097139,50.19
470394,1.0209934,50.19
470571,1.014548,50.19
470735,1.0105195,50.19
470917,1.0185763,50.19
471091,1.0137423,50.19
471261,1.0193819,50.25
471435,1.0097139,50.25
471606,1.012131,50.25
471779,1.0105195,50.25
471945,1.0081025,50.25
472118,1.0185763,50.25
472283,1.0169649,50.25
472454,1.0097139,50.25
472713,1.0081025,50.31
472885,1.0056856,50.31
473055,1.0064912,50.31
473224,1.0137423,50.31
473393,1.0105195,50.38
473567,1.014548,50.38
473740,1.0161593,50.38
473914,1.0105195,50.38
474099,1.0081025,50.44
474276,1.0129366,50.44
474447,1.0072968,50.44
474617,1.0072968,50.44
474785,1.0161593,50.5
474960,1.0089082,50.5
475226,1.012131,50.5
475398,1.0072968,50.56
475566,1.012131,50.56
475741,1.0161593,50.56
475913,1.0129366,50.56
476092,1.0040742,50.56
476267,1.0089082,50.56
476439,1.0137423,50.56
476614,1.0024628,50.56
476787,1.0064912,50.62
476963,1.0032684,50.62
477147,1.0064912,50.62
477320,1.0040742,50.62
477490,1.0040742,50.62
477756,1.0064912,50.62
477926,1.0105195,50.62
478109,1.0024628,50.69
478287,1.0105195,50.69
478463,1.0089082,50.69
478635,1.0040742,50.69
478806,1.0089082,50.69
478977,1.0032684,50.69
479148,1.0105195,50.69
479328,1.0081025,50.69
479509,1.0048798,50.75
479686,1.0000458,50.75
479862,1.0008514,50.75
480036,1.0089082,50.75
480297,1.0016571,50.75
480473,0.994406032,50.75
480653,0.9976287,50.75
480833,1.0008514,50.75
481007,1.0008514,50.81
481179,1.0016571,50.81
481367,1.0056856,50.81
481545,1.0089082,50.81
481721,1.0032684,50.81
481895,1.0032684,50.81
482079,0.9992401,50.81
482263,1.0000458,50.81
482448,1.0000458,50.81
482623,1.0056856,50.81
482884,1.0008514,50.81
483058,1.0008514,50.88
483238,1.0040742,50.88
483421,1.0000458,50.88
483601,1.0056856,50.88
483776,1.0024628,50.88
483965,1.0008514,50.88
484146,0.9976287,50.88
484319,0.9976287,50.88
484498,0.9952117,50.94
484667,1.0072968,50.94
484845,1.0040742,50.94
485023,0.9968231,50.94
485201,0.994406032,50.94
485480,1.0056856,50.94
485658,1.0024628,50.94
485841,1.0024628,50.94
486015,0.9976287,50.94
486193,0.9968231,50.94
486378,1.0016571,50.94
486562,1.0016571,51.0
486750,0.9952117,51.0
486926,0.9992401,51.0
487106,0.9960174,51.0
487288,1.0000458,51.0
487470,0.9960174,51.0
487648,0.9927947,51.0
487828,1.0016571,51.0
488097,0.9992401,51.06
488270,0.9936003,51.06
488450,1.0024628,51.06
488623,0.9968231,51.06
488803,0.9976287,51.06
488988,0.994406032,51.06
489172,0.9992401,51.06
489349,1.0024628,51.06
489526,0.9992401,51.12
489704,1.0040742,51.12
489886,1.0032684,51.12
490072,1.0000458,51.12
490257,1.0032684,51.12
490452,0.9976287,51.12
490721,0.99118332,51.12
490901,0.9936003,51.19
491079,0.9952117,51.19
491258,0.9927947,51.19
491441,0.99118332,51.19
491629,0.9927947,51.19
491812,0.9968231,51.19
491988,0.99118332,51.19
492174,0.9976287,51.19
492355,0.994406032,51.19
492548,1.0008514,51.19
492734,0.9895719,51.19
492914,0.994406032,51.19
493101,0.9992401,51.25
493373,0.9960174,51.25
493557,1.0000458,51.25
493753,0.98796068,51.25
493937,0.9968231,51.25
494117,0.9927947,51.25
494306,0.9952117,51.25
494486,0.9968231,51.31
494676,0.9976287,51.31
494865,0.9863493,51.31
495050,0.98796068,51.31
495233,0.98796068,51.31
495412,0.9927947,51.31
495595,0.9936003,51.31
495776,0.9976287,51.31
496052,0.98796068,51.31
496243,0.98715496,51.31
496432,0.9960174,51.31
496618,0.9952117,51.31
496801,0.9895719,51.38
496987,0.98796068,51.38
497171,0.98796068,51.38
497358,0.9895719,51.38
497547,0.9887663,51.44
497731,0.9952117,51.44
497930,0.9831266,51.44
498150,0.994406032,51.44
498316,0.9863493,51.44
498482,0.991989,51.44
498744,0.9927947,51.44
498915,0.994406032,51.44
499079,0.9927947,51.44
499241,0.98393224,51.44
499406,0.99037768,51.44
499573,0.9831266,51.5
499747,0.9895719,51.5
499912,0.98393224,51.5
500074,0.982320832,51.5
500257,0.98151517,51.5
500432,0.98393224,51.5
500595,0.982320832,51.5
500768,0.9887663,51.5
500928,0.98151517,51.5
501184,0.98151517,51.5
501355,0.9831266,51.5
501520,0.98151517,51.5
501702,0.9831266,51.5
501867,0.982320832,51.5
502043,0.99037768,51.5
502205,0.9863493,51.5
502373,0.98796068,51.56
502548,0.98151517,51.56
502720,0.9790982,51.56
502894,0.9863493,51.56
503062,0.98554352,51.56
503232,0.98473792,51.56
503403,0.9799039,51.56
503658,0.98151517,51.62
503832,0.98473792,51.62
504004,0.98796068,51.62
504176,0.980709568,51.62
504344,0.9799039,51.62
504515,0.9887663,51.62
504678,0.9799039,51.62
504850,0.9863493,51.62
505022,0.982320832,51.62
505195,0.9734584,51.69
505362,0.9831266,51.69
