Time, Voltage, Temperature 
42803,1.69071168,24.25
42926,1.680238,24.25
43045,1.6745982,24.25
43166,1.6794324,24.25
43287,1.69071168,24.25
43410,1.6842664,24.25
43531,1.6866834,24.25
43652,1.682655,24.25
43771,1.6786266,24.25
43892,1.69071168,24.25
44015,1.6745982,24.25
44136,1.6786266,24.25
44257,1.6850721,24.19
44381,1.682655,24.19
44500,1.6891004,24.19
44621,1.6762097,24.19
44742,1.6810436,24.19
44863,1.677821,24.19
44982,1.6794324,24.25
45102,1.6842664,24.25
45223,1.677821,24.25
45342,1.6923232,24.25
45462,1.677821,24.25
45581,1.68990608,24.25
45704,1.6786266,24.19
45861,1.682655,24.19
45981,1.6842664,24.19
46102,1.6842664,24.19
46223,1.6729869,24.19
46344,1.6762097,24.19
46465,1.6850721,24.19
46589,1.6786266,24.19
46710,1.6842664,24.19
46831,1.68990608,24.19
46954,1.6850721,24.19
47078,1.6745982,24.19
47199,1.69071168,24.25
47322,1.682655,24.25
47441,1.6891004,24.25
47562,1.6770153,24.25
47683,1.6786266,24.25
47804,1.68990608,24.19
47927,1.6858778,24.19
48048,1.6915176,24.19
48169,1.68990608,24.19
48292,1.6866834,24.19
48413,1.6923232,24.19
48533,1.6915176,24.25
48654,1.6866834,24.25
48775,1.6842664,24.25
48896,1.6842664,24.25
49017,1.68990608,24.25
49140,1.6745982,24.25
49261,1.69071168,24.25
49384,1.6866834,24.25
49505,1.69071168,24.25
49628,1.6834607,24.25
49752,1.6834607,24.25
49876,1.6762097,24.25
49997,1.6850721,24.25
50121,1.6915176,24.25
50242,1.6858778,24.25
50363,1.6874892,24.25
50484,1.677821,24.25
50603,1.6770153,24.25
50724,1.6810436,24.25
50845,1.675404,24.25
50964,1.6891004,24.25
51085,1.677821,24.25
51204,1.682655,24.25
51323,1.6850721,24.25
51450,1.6810436,24.25
51571,1.6923232,24.25
51691,1.675404,24.25
51810,1.677821,24.25
51929,1.6866834,24.25
52050,1.69554584,24.25
52173,1.6745982,24.25
52294,1.680238,24.25
52413,1.6737926,24.25
52534,1.69071168,24.25
52657,1.6745982,24.25
52778,1.680238,24.25
52897,1.6762097,24.25
53018,1.69071168,24.25
53141,1.6737926,24.25
53262,1.682655,24.25
53381,1.6770153,24.25
53502,1.6874892,24.25
53623,1.6842664,24.25
53744,1.677821,24.25
53863,1.6762097,24.25
53984,1.6786266,24.25
54105,1.6810436,24.25
54226,1.6866834,24.25
54347,1.6745982,24.25
54468,1.6882948,24.25
54588,1.6737926,24.25
54709,1.682655,24.25
54828,1.6891004,24.25
54949,1.6891004,24.25
55070,1.6866834,24.25
55191,1.680238,24.25
55310,1.6834607,24.25
55434,1.6721812,24.25
55555,1.6858778,24.25
55676,1.6745982,24.25
55797,1.6794324,24.25
55918,1.6842664,24.25
56039,1.677821,24.25
56158,1.6737926,24.25
56279,1.6858778,24.25
56400,1.6915176,24.25
56521,1.6874892,24.25
56642,1.677821,24.25
56761,1.677821,24.25
56880,1.6762097,24.25
57001,1.682655,24.25
57124,1.6745982,24.25
57245,1.6729869,24.25
57366,1.6737926,24.25
57487,1.6794324,24.25
57608,1.6786266,24.25
57729,1.6737926,24.25
57850,1.6729869,24.25
57971,1.6737926,24.25
58092,1.677821,24.25
58211,1.675404,24.25
58330,1.68990608,24.25
58453,1.6874892,24.25
58574,1.6858778,24.25
58695,1.6713756,24.25
58816,1.6794324,24.25
58937,1.6850721,24.25
59061,1.68990608,24.25
59184,1.6737926,24.25
59305,1.6737926,24.25
59426,1.6770153,24.25
59547,1.6745982,24.25
59668,1.6713756,24.25
59789,1.6834607,24.25
59913,1.6858778,24.25
60034,1.6842664,24.25
60155,1.6794324,24.25
60276,1.6681529,24.25
60397,1.6745982,24.25
60518,1.6866834,24.25
60639,1.6737926,24.25
60760,1.6737926,24.25
60881,1.677821,24.25
61000,1.6874892,24.25
61121,1.6770153,24.25
61242,1.6794324,24.25
61363,1.6729869,24.25
61484,1.6850721,24.25
61608,1.6874892,24.25
61729,1.6721812,24.25
61850,1.6745982,24.25
61971,1.6786266,24.25
62092,1.6737926,24.25
62213,1.6858778,24.25
62334,1.677821,24.25
62454,1.6874892,24.25
62574,1.6794324,24.25
62695,1.6891004,24.31
62819,1.6762097,24.31
62941,1.6737926,24.31
63062,1.6762097,24.31
63183,1.6850721,24.31
63307,1.6866834,24.31
63428,1.6866834,24.25
63549,1.6721812,24.25
63670,1.6834607,24.25
63794,1.680238,24.25
63913,1.677821,24.25
64032,1.6794324,24.25
64153,1.6850721,24.25
64277,1.6834607,24.25
64401,1.6850721,24.25
64525,1.6834607,24.25
64649,1.6770153,24.25
64770,1.6713756,24.25
64891,1.6850721,24.25
65015,1.6705699,24.25
65136,1.6850721,24.25
65260,1.6729869,24.25
65381,1.6673472,24.25
65502,1.677821,24.25
65621,1.6794324,24.25
65742,1.6874892,24.25
65863,1.6745982,24.25
65984,1.6762097,24.31
66105,1.6850721,24.31
66229,1.6923232,24.31
66349,1.6866834,24.31
66470,1.677821,24.31
66589,1.680238,24.31
66708,1.6834607,24.25
66832,1.6842664,24.25
66953,1.677821,24.25
67072,1.6737926,24.25
67193,1.6721812,24.25
67314,1.6794324,24.25
67435,1.677821,24.31
67555,1.682655,24.31
67674,1.682655,24.31
67793,1.6770153,24.31
67914,1.6786266,24.31
68035,1.6745982,24.31
68156,1.6850721,24.25
68280,1.6729869,24.25
68401,1.6770153,24.25
68561,1.6866834,24.25
68683,1.6713756,24.25
68804,1.6850721,24.25
68928,1.6737926,24.25
69049,1.6713756,24.25
69170,1.682655,24.25
69290,1.6729869,24.25
69411,1.6721812,24.25
69532,1.6770153,24.25
69653,1.6681529,24.25
69774,1.6786266,24.25
69895,1.6737926,24.25
70016,1.6713756,24.25
70137,1.6850721,24.25
70261,1.6713756,24.25
70382,1.6705699,24.25
70503,1.6745982,24.25
70624,1.6866834,24.25
70745,1.6762097,24.25
70866,1.6770153,24.31
70987,1.6729869,24.31
71108,1.6866834,24.31
71229,1.6850721,24.31
71353,1.6834607,24.31
71477,1.6770153,24.31
71598,1.6794324,24.25
71719,1.6729869,24.25
71840,1.675404,24.25
71959,1.6810436,24.25
72080,1.6834607,24.25
72204,1.6762097,24.25
72325,1.6866834,24.25
72446,1.6673472,24.25
72567,1.6745982,24.25
72688,1.6858778,24.25
72809,1.6729869,24.31
72930,1.6721812,24.31
73051,1.6874892,24.31
73172,1.680238,24.31
73291,1.6834607,24.31
73415,1.6681529,24.31
73536,1.6697643,24.25
73657,1.6762097,24.25
73778,1.675404,24.25
73897,1.6737926,24.25
74018,1.6705699,24.25
74139,1.682655,24.31
74262,1.6697643,24.31
74383,1.6842664,24.31
74504,1.677821,24.31
74624,1.6770153,24.31
74745,1.6786266,24.31
74866,1.6729869,24.31
74987,1.682655,24.31
75106,1.6713756,24.31
75227,1.6786266,24.31
75348,1.680238,24.31
75467,1.6729869,24.31
75588,1.6713756,24.31
75709,1.6794324,24.31
75830,1.6713756,24.31
75951,1.6858778,24.31
76072,1.6737926,24.31
76193,1.682655,24.31
76313,1.6770153,24.31
76434,1.6858778,24.31
76555,1.6713756,24.31
76676,1.6834607,24.31
76800,1.6737926,24.31
76921,1.682655,24.31
77041,1.6866834,24.31
77162,1.6818494,24.31
77283,1.6713756,24.31
77404,1.6745982,24.31
77525,1.6713756,24.31
77646,1.677821,24.31
77766,1.6842664,24.31
77887,1.6770153,24.31
78008,1.6705699,24.31
78129,1.6810436,24.31
78250,1.6786266,24.31
78371,1.6729869,24.31
78492,1.682655,24.31
78611,1.6866834,24.31
78732,1.682655,24.31
78852,1.675404,24.31
78971,1.6858778,24.25
79092,1.6891004,24.25
79218,1.680238,24.25
79337,1.68990608,24.25
79460,1.6810436,24.25
79581,1.6858778,24.25
79702,1.6794324,24.25
79823,1.6858778,24.25
79948,1.6770153,24.25
80069,1.6882948,24.25
80189,1.6834607,24.25
80313,1.6874892,24.31
80434,1.6810436,24.31
80555,1.68990608,24.31
80678,1.6866834,24.31
80799,1.6737926,24.31
80920,1.6818494,24.25
81041,1.6794324,24.25
81162,1.6834607,24.25
81286,1.680238,24.25
81405,1.6794324,24.25
81526,1.6786266,24.25
81647,1.680238,24.25
81766,1.6770153,24.25
81887,1.6858778,24.25
82008,1.680238,24.25
82127,1.6858778,24.25
82248,1.677821,24.25
82368,1.6786266,24.25
82489,1.6891004,24.25
82610,1.682655,24.25
82730,1.6786266,24.25
82851,1.6818494,24.25
82972,1.6874892,24.25
83093,1.6745982,24.25
83214,1.677821,24.25
83334,1.6770153,24.25
83455,1.6939346,24.25
83576,1.6842664,24.25
83697,1.6891004,24.25
83818,1.6874892,24.25
83939,1.682655,24.25
84059,1.6931288,24.25
84180,1.6891004,24.25
84301,1.680238,24.25
84420,1.682655,24.25
84539,1.6915176,24.25
84659,1.6915176,24.25
84780,1.680238,24.25
84899,1.6939346,24.25
85020,1.6842664,24.25
85141,1.6939346,24.25
85262,1.6770153,24.25
85383,1.6915176,24.25
85506,1.6915176,24.25
85627,1.6866834,24.25
85748,1.69554584,24.25
85871,1.6842664,24.25
85992,1.6786266,24.25
86113,1.682655,24.25
86232,1.6874892,24.25
86353,1.6923232,24.25
86473,1.6794324,24.25
86594,1.677821,24.25
86713,1.69071168,24.25
86836,1.6931288,24.25
86957,1.6891004,24.25
87078,1.6891004,24.25
87199,1.6939346,24.25
87320,1.69635152,24.25
87443,1.6947402,24.25
87564,1.682655,24.25
87683,1.6834607,24.19
87807,1.6858778,24.19
87928,1.6931288,24.19
88049,1.682655,24.19
88169,1.6874892,24.19
88290,1.68990608,24.19
